asia-east1-a 	Changhua County, Taiwan, APAC, 24.0498, 120.4208
asia-east1-b 	Changhua County, Taiwan, APAC, 24.0498, 120.4208
asia-east1-c 	Changhua County, Taiwan, APAC, 24.0498, 120.4208
asia-east2-a 	Hong Kong, APAC, 22.3193, 114.1694
asia-east2-b 	Hong Kong, APAC, 22.3193, 114.1694
asia-east2-c 	Hong Kong, APAC, 22.3193, 114.1694
asia-northeast1-a 	Tokyo, Japan, APAC, 35.6895, 139.6917
asia-northeast1-b 	Tokyo, Japan, APAC, 35.6895, 139.6917
asia-northeast1-c 	Tokyo, Japan, APAC, 35.6895, 139.6917
asia-northeast2-a 	Osaka, Japan, APAC, 34.6937, 135.5022
asia-northeast2-b 	Osaka, Japan, APAC, 34.6937, 135.5022
asia-northeast2-c 	Osaka, Japan, APAC, 34.6937, 135.5022
asia-northeast3-a 	Seoul, South Korea, APAC, 37.5665, 126.9780
asia-northeast3-b 	Seoul, South Korea, APAC, 37.5665, 126.9780
asia-northeast3-c 	Seoul, South Korea, APAC, 37.5665, 126.9780
asia-south1-a 	Mumbai, India, APAC, 19.0760, 72.8777
asia-south1-b 	Mumbai, India, APAC, 19.0760, 72.8777
asia-south1-c 	Mumbai, India, APAC, 19.0760, 72.8777
asia-south2-a 	Delhi, India, APAC, 28.6139, 77.2090
asia-south2-b 	Delhi, India, APAC, 28.6139, 77.2090
asia-south2-c 	Delhi, India, APAC, 28.6139, 77.2090
asia-southeast1-a 	Jurong West, Singapore, APAC, 1.3397, 103.7074
asia-southeast1-b 	Jurong West, Singapore, APAC, 1.3397, 103.7074
asia-southeast1-c 	Jurong West, Singapore, APAC, 1.3397, 103.7074
asia-southeast2-a 	Jakarta, Indonesia, APAC, -6.2088, 106.8456
asia-southeast2-b 	Jakarta, Indonesia, APAC, -6.2088, 106.8456
asia-southeast2-c 	Jakarta, Indonesia, APAC, -6.2088, 106.8456
australia-southeast1-a 	Sydney, Australia, APAC, -33.8688, 151.2093
australia-southeast1-b 	Sydney, Australia, APAC, -33.8688, 151.2093
australia-southeast1-c 	Sydney, Australia, APAC, -33.8688, 151.2093
australia-southeast2-a 	Melbourne, Australia, APAC, -37.8136, 144.9631
australia-southeast2-b 	Melbourne, Australia, APAC, -37.8136, 144.9631
australia-southeast2-c 	Melbourne, Australia, APAC, -37.8136, 144.9631
europe-central2-a 	Warsaw, Poland, Europe, 52.2297, 21.0122
europe-central2-b 	Warsaw, Poland, Europe, 52.2297, 21.0122
europe-central2-c 	Warsaw, Poland, Europe, 52.2297, 21.0122
europe-north1-a 	Hamina, Finland, Europe, 60.5695, 27.1878
europe-north1-b 	Hamina, Finland, Europe, 60.5695, 27.1878
europe-north1-c 	Hamina, Finland, Europe, 60.5695, 27.1878
europe-southwest1-a 	Madrid, Spain, Europe, 40.4168, -3.7038
europe-southwest1-b 	Madrid, Spain, Europe, 40.4168, -3.7038
europe-southwest1-c 	Madrid, Spain, Europe, 40.4168, -3.7038
europe-west1-b 	St. Ghislain, Belgium, Europe, 50.4521, 3.8319
europe-west1-c 	St. Ghislain, Belgium, Europe, 50.4521, 3.8319
europe-west1-d 	St. Ghislain, Belgium, Europe, 50.4521, 3.8319
europe-west10-a    Berlin, Germany, Europe, 52.5200, 13.4050
europe-west10-b    Berlin, Germany, Europe, 52.5200, 13.4050
europe-west10-c    Berlin, Germany, Europe, 52.5200, 13.4050
europe-west12-a    Turin, Italy, Europe, 45.0703, 7.6869
europe-west12-b    Turin, Italy, Europe, 45.0703, 7.6869
europe-west12-c    Turin, Italy, Europe, 45.0703, 7.6869
europe-west2-a 	London, England, Europe, 51.5074, -0.1278
europe-west2-b 	London, England, Europe, 51.5074, -0.1278
europe-west2-c 	London, England, Europe, 51.5074, -0.1278
europe-west3-a 	Frankfurt, Germany, Europe, 50.1109, 8.6821
europe-west3-b 	Frankfurt, Germany, Europe, 50.1109, 8.6821
europe-west3-c 	Frankfurt, Germany, Europe, 50.1109, 8.6821
europe-west4-a 	Eemshaven, Netherlands, Europe, 53.4370, 6.8357
europe-west4-b 	Eemshaven, Netherlands, Europe, 53.4370, 6.8357
europe-west4-c 	Eemshaven, Netherlands, Europe, 53.4370, 6.8357
europe-west6-a 	Zurich, Switzerland, Europe, 47.3769, 8.5417
europe-west6-b 	Zurich, Switzerland, Europe, 47.3769, 8.5417
europe-west6-c 	Zurich, Switzerland, Europe, 47.3769, 8.5417
europe-west8-a 	Milan, Italy, Europe, 45.4642, 9.1900
europe-west8-b 	Milan, Italy, Europe, 45.4642, 9.1900
europe-west8-c 	Milan, Italy, Europe, 45.4642, 9.1900
europe-west9-a 	Paris, France, Europe, 48.8566, 2.3522
europe-west9-b 	Paris, France, Europe, 48.8566, 2.3522
europe-west9-c 	Paris, France, Europe, 48.8566, 2.3522
me-central1-a 	Doha, Qatar, Middle East, 25.2769, 51.5200
me-central1-b 	Doha, Qatar, Middle East, 25.2769, 51.5200
me-central1-c 	Doha, Qatar, Middle East, 25.2769, 51.5200
me-central2-a 	Dammam, Saudi Arabia, Middle East, 26.3927, 49.9777
me-central2-b 	Dammam, Saudi Arabia, Middle East, 26.3927, 49.9777
me-central2-c 	Dammam, Saudi Arabia, Middle East, 26.3927, 49.9777
me-west1-a 	Tel Aviv, Israel, Middle East, 32.0853, 34.7818
me-west1-b 	Tel Aviv, Israel, Middle East, 32.0853, 34.7818
me-west1-c 	Tel Aviv, Israel, Middle East, 32.0853, 34.7818
northamerica-northeast1-a 	Montréal, Québec, North America, 45.5017, -73.5673
northamerica-northeast1-b 	Montréal, Québec, North America, 45.5017, -73.5673
northamerica-northeast1-c 	Montréal, Québec, North America, 45.5017, -73.5673
northamerica-northeast2-a 	Toronto, Ontario, North America, 43.6532, -79.3832
northamerica-northeast2-b 	Toronto, Ontario, North America, 43.6532, -79.3832
northamerica-northeast2-c 	Toronto, Ontario, North America, 43.6532, -79.3832
southamerica-east1-a 	Osasco, São Paulo, Brazil, South America, -23.5329, -46.7927
southamerica-east1-b 	Osasco, São Paulo, Brazil, South America, -23.5329, -46.7927
southamerica-east1-c 	Osasco, São Paulo, Brazil, South America, -23.5329, -46.7927
southamerica-west1-a 	Santiago, Chile, South America, -33.4489, -70.6693
southamerica-west1-b 	Santiago, Chile, South America, -33.4489, -70.6693
southamerica-west1-c 	Santiago, Chile, South America, -33.4489, -70.6693
us-central1-a 	Council Bluffs, Iowa, North America, 41.2619, -95.8608
us-central1-b 	Council Bluffs, Iowa, North America, 41.2619, -95.8608
us-central1-c 	Council Bluffs, Iowa, North America, 41.2619, -95.8608
us-central1-f 	Council Bluffs, Iowa, North America, 41.2619, -95.8608
us-east1-b 	Moncks Corner, South Carolina, North America, 33.1980, -80.0100
us-east1-c 	Moncks Corner, South Carolina, North America, 33.1980, -80.0100
us-east1-d 	Moncks Corner, South Carolina, North America, 33.1980, -80.0100
us-east4-a 	Ashburn, Virginia, North America, 39.0438, -77.4874
us-east4-b 	Ashburn, Virginia, North America, 39.0438, -77.4874
us-east4-c 	Ashburn, Virginia, North America, 39.0438, -77.4874
us-east5-a 	Columbus, Ohio, North America, 39.9612, -82.9988
us-east5-b 	Columbus, Ohio, North America, 39.9612, -82.9988
us-east5-c 	Columbus, Ohio, North America, 39.9612, -82.9988
us-south1-a 	Dallas, Texas, North America, 32.7767, -96.7970
us-south1-b 	Dallas, Texas, North America, 32.7767, -96.7970
us-south1-c 	Dallas, Texas, North America, 32.7767, -96.7970
us-west1-a 	 	    The Dalles, Oregon, North America, 45.5946, -121.1787
us-west1-b 	 	    The Dalles, Oregon, North America, 45.5946, -121.1787
us-west1-c 	 	    The Dalles, Oregon, North America, 45.5946, -121.1787
us-west2-a 	 	    Los Angeles, California, North America, 34.0522, -118.2437
us-west2-b 	 	    Los Angeles, California, North America, 34.0522, -118.2437
us-west2-c 	 	    Los Angeles, California, North America, 34.0522, -118.2437
us-west3-a 	 	    Salt Lake City, Utah, North America, 40.7608, -111.8910
us-west3-b 	 	    Salt Lake City, Utah, North America, 40.7608, -111.8910
us-west3-c 	 	    Salt Lake City, Utah, North America, 40.7608, -111.8910
us-west4-a 	 	    Las Vegas, Nevada, North America, 36.1699, -115.1398
us-west4-b 	 	    Las Vegas, Nevada, North America, 36.1699, -115.1398
us-west4-c 	 	    Las Vegas, Nevada, North America, 36.1699, -115.1398
